index,id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names
1222,p1222,Palo_Cortex,SOC_Account_Enrichment_-_Generic_v2.1,Enrich accounts using one or more integrations.\nSupported integrations:\n- Active Directory\n- Microsoft Graph User\n- SailPoint IdentityNow\n- SailPoint IdentityIQ\n- PingOne\n- Okta\n- AWS IAM\n- Cortex XDR (account enrichment and reputation)\n\nAlso  the playbook supports the generic command 'iam-get-user' (implemented in IAM integrations). For more information  visit https://xsoar.pan.dev/docs/integrations/iam-integrations.,[],40,,,"['', 'Is there an account to enrich (without domain prefix)?', 'Done', 'Is Active Directory Query v2 enabled?', 'Get account info from Active Directory', 'SailPoint IdentityIQ', 'PingOne', 'Microsoft Active Directory', 'Is SailPoint IdentityIQ Integration Enabled?', 'Is PingOne Integration Enabled', 'Get account info from IdentityIQ', 'Get account info from PingOne', 'OKTA', 'Is OKTA v2 integration enabled?', 'Get account info from OKTA v2', 'AWS', 'Is AWS integration enabled?', 'Get account info from AWS', 'IAM', 'SailPoint IdentityNow', 'Is SailPoint IdentityNow integration enabled?', 'Get account info from IdentityNow', 'Is there a manager?', 'Active Directory - Get User Manager Details', 'MSGraph Users', 'Is Azure Active Directory Users integration enabled?', 'Get account info from Azure Active Directory', 'Is there a manager?', 'Azure Active Directory - Get manager details', 'Set manager email address to context', 'IAM Get User - Without specifying a domain', 'IAM Get User - with a domain', 'Was a domain provided?', 'Cortex XDR', 'Is Cortex XDR - IR integration enabled?', 'Get account risk score', 'Save account usernames', 'Is there an account to enrich (with domain prefix)?', 'Save account usernames with domains', 'Foundation - Error Handling']"
1223,p1223,Palo_Cortex,SOC_Active_Directory_-_Get_User_Manager_Details,Takes an email address or a username of a user account in Active Directory  and returns the email address of the user's manager.,[],12,,,"['', 'Is Active Directory enabled?', 'By which attribute should the user be searched?', 'Get user details by username', 'Get user details by email', 'Was a manager found?', 'Get manager details by user email or username', 'Set manager email to outputs', 'Done', 'Cannot Retrieve Manager Email', 'Set manager display name to outputs', 'Foundation - Error Handling']"
1224,p1224,Palo_Cortex,SOC_Block_Account_-_Generic_v2,This playbook blocks malicious usernames using all integrations that you have enabled.\n\nSupported integrations for this playbook:\n* Active Directory\n* PAN-OS - This requires PAN-OS 9.1 or higher.\n* SailPoint\n* PingOne\n* AWS IAM\n* Clarizen IAM\n* Envoy IAM\n* ExceedLMS IAM\n* Okta\n* Microsoft Graph User (Azure Active Directory Users)\n* Google Workspace Admin\n* Slack IAM\n* ServiceNow IAM\n* Prisma Cloud IAM\n* Zoom IAM\n* Atlassian IAM\n* GitHub IAM.,[],79,,,"['', 'Done', 'Block accounts', 'Is there a username to block?', 'PAN-OS - Register Tag to User', 'Is there a Tag name to register?', 'OKTA', 'SailPoint', 'AWS IAM', 'PingOne', 'Clarizen IAM', 'Envoy IAM', 'ExceedLMS IAM', 'PAN-OS', 'Microsoft Active Directory', 'Is OKTA Integration Enabled?', 'Is SailPoint Integration Enabled?', 'Is AWS IAM Integration Enabled?', 'Is PingOne Integration Enabled', 'Is ClarizenIAM Integration Enabled?', 'Is Envoy IAM Integration Enabled?', 'Is ExceedLMS IAM Integration Enabled?', 'IAM Disable User', 'PingOne - Deactivate user', 'SailPoint-Disable account', 'Is PAN-OS/Panorama Integration Enabled?', 'Is Active Directory Integration Enabled?', 'Is User Verification Required?', 'No User to be blocked', 'Set Naming Convention to a key', 'Identify Potential Sensitive Users', 'Set User to a potential block list', 'Check if there are any sensitive users to block', 'Ask the user for verification [Sensitive Users]', 'Ask the user for verification [without Sensitive Users]', 'Set the final accounts list to be blocked', 'Set the final accounts list to be blocked', 'Active Directory - Disable Account', 'Is Username selected?', 'Is Slack IAM Integration Enabled?', 'Slack IAM', 'Is ServiceNow IAM Integration Enabled?', 'ServiceNow IAM', 'Is Salesforce IAM Integration Enabled?', 'Salesforce IAM', 'Is PrismaCloud IAM Integration Enabled?', 'PrismaCloud IAM', 'Is Microsoft Graph User Integration Enabled?', 'Microsoft Graph User', 'Is Zoom IAM Integration Enabled?', 'Zoom IAM', 'Is Atlassian IAM Integration Enabled?', 'Atlassian IAM', 'Microsoft Graph User - Disable Account', 'Is GitHub IAM Integration Enabled?', 'GitHub IAM', 'Is Google Workspace Admin Integration Enabled?', 'Google Workspace Admin', 'Google Workspace Admin - Disable Account', 'Get Account IDs From SailPoint', 'Active Directory - Get User', 'Does the username exist?', 'Microsoft Graph User - Get User', 'Does the username exist?', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: IAM Disable User', 'Run Mode?', 'Shadow: PingOne Deactivate User', 'Run Mode?', 'Shadow: SailPoint Disable User', 'Run Mode?', 'Shadow: Active Directory Disable Account', 'Run Mode?', 'Shadow: Microsoft Graph User Disable Account', 'Run Mode?', 'Shadow: PAN-OS Register Tag to User', 'Run Mode?', 'Shadow: Google Workspace Admin - Disable User']"
1225,p1225,Palo_Cortex,SOC_Block_Domain_-_Cisco_Stealthwatch,This playbook blocks domains using Cisco Stealthwatch Cloud.,[],8,,,"['', 'Is Cisco Stealthwatch enabled?', 'Block Domain', 'Done', 'Check if Domain input was provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Cisco Stealthwatch Block Domain']"
1226,p1226,Palo_Cortex,SOC_Block_Domain_-_External_Dynamic,"This playbook blocks domains using External Dynamic Link.\nThe playbook adds a tag to the inputs domain indicators. the tagged domains can be publish as External Dynamic list that can be added to blocklist using products like Panorama by Palo Alto Networks.\nFor Panorama - You can block the tagged domains by creating EDL(in Panorama) with the XSOAR EDL Url  and assign it to Anti-Spyware profile under ""DNS Signature Policies""",[],5,,,"['', 'Use External Dynamic List?', 'Update Indicator Tag for EDL', 'Done', 'Foundation - Error Handling']"
1227,p1227,Palo_Cortex,SOC_Block_Domain_-_External_Dynamic_List,"This playbook blocks domains using External Dynamic Link.\nThe playbook adds a tag to the inputs domain indicators. the tagged domains can be publish as External Dynamic list that can be added to blocklist using products like Panorama by Palo Alto Networks.\nFor Panorama - You can block the tagged domains by creating EDL(in Panorama) with the XSOAR EDL Url  and assign it to Anti-Spyware profile under ""DNS Signature Policies""",[],7,,,"['', 'Use External Dynamic List?', 'Update Indicator Tag for EDL', 'Done', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: PANW Update Indicator Tag for EDL']"
1228,p1228,Palo_Cortex,SOC_Block_Domain_-_FireEye_Email_Security,This playbook blocks domains using FireEye Email Security.\nThe playbook checks whether the FireEye Email Security integration is enabled  whether the Domain input has been provided and if so  blocks the domain.,[],8,,,"['', 'Is FireEye Email Security  enabled?', 'Block Domain', 'Done', 'Check if Domain input was provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: FireEye Email Security Block Domain']"
1229,p1229,Palo_Cortex,SOC_Block_Domain_-_Generic_v2,This playbook blocks malicious Domains using all integrations that are enabled.\n\nSupported integrations for this playbook:\n* Zscaler\n* Symantec Messaging Gateway\n* FireEye EX\n* Trend Micro Apex One\n* Proofpoint Threat Response\n* Cisco Stealthwatch Cloud\n,[],9,,,"['', 'Done', 'SOC Block Domain - Zscaler', 'SOC Block Domain - Symantec Messaging Gateway', 'SOC Block Domain - FireEye Email Security', 'SOC Block Domain - Trend Micro Apex One', 'SOC Block Domain - Proofpoint Threat Response', 'SOC Block Domain - Cisco Stealthwatch', 'SOC Block Domain - External Dynamic']"
1230,p1230,Palo_Cortex,SOC_Block_Domain_-_Proofpoint_Threat_Response,This playbook blocks domains using Proofpoint Threat Response.\nThe playbook checks whether the Proofpoint Threat Response integration is enabled  whether the Domain input has been provided and if so  blocks the domain.,[],8,,,"['', 'Is Proofpoint Threat Response enabled?', 'Block Domain', 'Done', 'Check if inputs were provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Proofpoint Threat Response Block Domain']"
1231,p1231,Palo_Cortex,SOC_Block_Domain_-_Symantec_Messaging_Gateway,This playbook blocks domains using Symantec Messaging Gateway.\nThe playbook checks whether the Symantec Messaging Gateway integration is enabled  whether the Domain input has been provided and if so  blocks the domain.,[],8,,,"['', 'Is Symantec Messaging Gateway enabled?', 'Block Domain', 'Done', 'Check if Domain input was provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Symantec Message Gateway Block Domain']"
